"Month","Seasonally adjusted data"
"1983-01",342
"1983-02",344
"1983-03",350
"1983-04",357
"1983-05",367
"1983-06",376
"1983-07",384
"1983-08",390
"1983-09",392
"1983-10",392
"1983-11",392
"1983-12",395
"1984-01",396
"1984-02",398
"1984-03",398
"1984-04",400
"1984-05",400
"1984-06",400
"1984-07",402
"1984-08",403
"1984-09",406
"1984-10",410
"1984-11",412
"1984-12",412
"1985-01",409
"1985-02",407
"1985-03",409
"1985-04",412
"1985-05",412
"1985-06",412
"1985-07",414
"1985-08",416
"1985-09",416
"1985-10",414
"1985-11",415
"1985-12",419
"1986-01",419
"1986-02",419
"1986-03",420
"1986-04",420
"1986-05",414
"1986-06",402
"1986-07",391
"1986-08",380
"1986-09",374
"1986-10",371
"1986-11",367
"1986-12",362
"1987-01",359
"1987-02",356
"1987-03",349
"1987-04",343
"1987-05",337
"1987-06",329
"1987-07",320
"1987-08",315
"1987-09",312
"1987-10",309
"1987-11",301
"1987-12",291
"1988-01",283
"1988-02",281
"1988-03",283
"1988-04",284
"1988-05",278
"1988-06",265
"1988-07",253
"1988-08",249
"1988-09",251
"1988-10",254
"1988-11",254
"1988-12",251
"1989-01",248
"1989-02",248
"1989-03",247
"1989-04",242
"1989-05",239
"1989-06",240
"1989-07",238
"1989-08",234
"1989-09",230
"1989-10",227
"1989-11",229
"1989-12",235
"1990-01",237
"1990-02",233
"1990-03",224
"1990-04",215
"1990-05",215
"1990-06",221
"1990-07",222
"1990-08",225
"1990-09",225
"1990-10",222
"1990-11",218
"1990-12",213
"1991-01",206
"1991-02",200
"1991-03",195
"1991-04",192
"1991-05",195
"1991-06",200
"1991-07",204
"1991-08",205
"1991-09",204
"1991-10",203
"1991-11",199
"1991-12",191
"1992-01",184
"1992-02",185
"1992-03",187
"1992-04",190
"1992-05",192
"1992-06",194
"1992-07",195
"1992-08",198
"1992-09",199
"1992-10",200
"1992-11",205
"1992-12",211
"1993-01",218
"1993-02",226
"1993-03",237
"1993-04",248
"1993-05",253
"1993-06",257
"1993-07",262
"1993-08",267
"1993-09",269
"1993-10",277
"1993-11",284
"1993-12",293
"1994-01",302
"1994-02",306
"1994-03",311
"1994-04",316
"1994-05",322
"1994-06",326
"1994-07",331
"1994-08",332
"1994-09",333
"1994-10",333
"1994-11",334
"1994-12",334
"1995-01",338
"1995-02",339
"1995-03",341
"1995-04",342
"1995-05",341
"1995-06",338
"1995-07",336
"1995-08",334
"1995-09",334
"1995-10",337
"1995-11",340
"1995-12",341
"1996-01",343
"1996-02",345
"1996-03",348
"1996-04",353
"1996-05",353
"1996-06",350
"1996-07",345
"1996-08",344
"1996-09",339
"1996-10",338
"1996-11",338
"1996-12",337
"1997-01",336
"1997-02",339
"1997-03",334
"1997-04",329
"1997-05",323
"1997-06",319
"1997-07",324
"1997-08",323
"1997-09",320
"1997-10",316
"1997-11",311
"1997-12",304
"1998-01",331
"1998-02",322
"1998-03",302
"1998-04",283
"1998-05",271
"1998-06",265
"1998-07",270
"1998-08",274
"1998-09",275
"1998-10",276
"1998-11",270
"1998-12",268
"1999-01",262
"1999-02",259
"1999-03",262
"1999-04",271
"1999-05",274
"1999-06",271
"1999-07",260
"1999-08",249
"1999-09",238
"1999-10",235
"1999-11",236
"1999-12",241
"2000-01",247
"2000-02",247
"2000-03",240
"2000-04",229
"2000-05",227
"2000-06",229
"2000-07",240
"2000-08",239
"2000-09",230
"2000-10",217
"2000-11",212
"2000-12",215
"2001-01",227
"2001-02",237
"2001-03",240
"2001-04",237
"2001-05",239
"2001-06",243
"2001-07",243
"2001-08",242
"2001-09",243
"2001-10",244
"2001-11",245
"2001-12",246
"2002-01",249
"2002-02",254
"2002-03",265
"2002-04",278
"2002-05",287
"2002-06",294
"2002-07",300
"2002-08",311
"2002-09",328
"2002-10",350
"2002-11",366
"2002-12",371
"2003-01",372
"2003-02",375
"2003-03",380
"2003-04",387
"2003-05",388
"2003-06",385
"2003-07",382
"2003-08",378
"2003-09",388
"2003-10",393
"2003-11",394
"2003-12",390
"2004-01",377
"2004-02",374
"2004-03",383
"2004-04",392
"2004-05",402
"2004-06",410
"2004-07",419
"2004-08",425
"2004-09",431
"2004-10",425
"2004-11",427
"2004-12",432
"2005-01",440
"2005-02",448
"2005-03",450
"2005-04",453
"2005-05",458
"2005-06",465
"2005-07",471
"2005-08",480
"2005-09",490
"2005-10",491
"2005-11",489
"2005-12",480
"2006-01",468
"2006-02",460
"2006-03",456
"2006-04",461
"2006-05",464
"2006-06",461
"2006-07",458
"2006-08",462
"2006-09",473
"2006-10",488
"2006-11",501
"2006-12",509
"2007-01",506
"2007-02",505
"2007-03",505
"2007-04",502
"2007-05",494
"2007-06",494
"2007-07",493
"2007-08",491
"2007-09",485
"2007-10",481
"2007-11",475
"2007-12",470
"2008-01",464
"2008-02",460
"2008-03",454
"2008-04",455
"2008-05",463
"2008-06",472
"2008-07",477
"2008-08",483
"2008-09",477
"2008-10",470
"2008-11",477
"2008-12",491
"2009-01",516
"2009-02",540
"2009-03",556
"2009-04",565
"2009-05",572
"2009-06",582
"2009-07",595
"2009-08",602
"2009-09",606
"2009-10",612
"2009-11",618
"2009-12",621
"2010-01",636
"2010-02",635
"2010-03",645
"2010-04",653
"2010-05",656
"2010-06",659
"2010-07",661
"2010-08",666
"2010-09",669
"2010-10",671
"2010-11",672
"2010-12",676
"2011-01",675
"2011-02",677
"2011-03",681
"2011-04",687
"2011-05",692
"2011-06",688
"2011-07",687
"2011-08",689
"2011-09",697
"2011-10",707
"2011-11",720
